1,TRUE,3000.00,699,5,TRUE,8-9-10-26
2,FALSE,2000.00,749,7,TRUE,8-18-19-26
3,TRUE,3000.01,700,5,TRUE,8-9-12-13-26
4,FALSE,2000.01,750,7,TRUE,8-18-21-22-26
5,TRUE,3000.01,699,6,TRUE,8-9-12-15-16-26
6,FALSE,2000.01,749,8,TRUE,8-18-21-24-25-26
7,TRUE,3000.01,699,5,FALSE,8-9-12-15-26
8,FALSE,2000.01,749,7,FALSE,8-18-21-24-26
9,TRUE,0.00,699,5,TRUE,extreme range cart
10,FALSE,10000.00,699,5,FALSE,extreme range cart
11,TRUE,3000.01,0,5,FALSE,extreme credit rating
12,FALSE,3000.01,850,5,TRUE,extreme credit rating
13,TRUE,3000.01,699,0,FALSE,extreme years member
14,FALSE,3000.01,699,20,TRUE,extreme years member
