1,TRUE,650,2500.01,TRUE,8-9-10-11-12-20,TTT Stmts 9-12
2,FALSE,700,3500.01,TRUE,8-14-15-20,TFT Stmts 14-19
3,TRUE,649,2500.01,FALSE,8-9-2020,FTT Stmts 9-12
4,FALSE,699,1500.01,TRUE,8-14-17-18-19-20,FTT Stmts 14-19
5,TRUE,650,5000.01,FALSE,8-9-10-20,TFT Stmts 14-19
6,FALSE,699,3500.01,FALSE,8-14-17-20,FFT Stmts 14-19
7,TRUE,650,2500.00,FALSE,8-9-10-11-20,TTF Stmts 9-12
8,FALSE,699,1500.00,FALSE,8-14-17-18-20,FTF Stmts 14-19
9,TRUE,650,5000.00,TRUE,-,Other TT BV for Stmts 10-11
10,FALSE,699,3500.00,TRUE,-,Other TT BV for Stmts 17-18
11,TRUE,0,2500.01,FALSE,Extreme range creditRating,
12,TRUE,850,2500.01,TRUE,Extreme range creditRating,
13,TRUE,650,0.00,FALSE,Extreme range cart,
14,TRUE,650,10000.00,FALSE,Extreme range cart,
